Date,Close
2023-01-02,6594.569824
2023-01-03,6623.890137
2023-01-04,6776.430176
2023-01-05,6761.500000
2023-01-06,6860.950195
2023-01-09,6907.359863
2023-01-10,6869.140137
2023-01-11,6924.189941
2023-01-12,6975.680176
2023-01-13,7023.500000
2023-01-16,7043.310059
2023-01-17,7077.160156
2023-01-18,7083.390137
2023-01-19,6951.870117
2023-01-20,6995.990234
2023-01-23,7032.020020
2023-01-24,7050.479980
2023-01-25,7043.879883
2023-01-26,7095.990234
2023-01-27,7097.209961
2023-01-30,7082.009766
2023-01-31,7082.419922
2023-02-01,7077.109863
2023-02-02,7166.270020
2023-02-03,7233.939941
2023-02-06,7137.100098
2023-02-07,7132.350098
2023-02-08,7119.830078
2023-02-09,7188.359863
2023-02-10,7129.729980
2023-02-13,7208.589844
2023-02-14,7213.810059
2023-02-15,7300.859863
2023-02-16,7366.160156
2023-02-17,7347.720215
2023-02-20,7335.609863
2023-02-21,7308.649902
2023-02-22,7299.259766
2023-02-23,7317.430176
2023-02-24,7187.270020
2023-02-27,7295.549805
2023-02-28,7267.930176
2023-03-01,7234.250000
2023-03-02,7284.220215
2023-03-03,7348.120117
2023-03-06,7373.209961
2023-03-07,7339.270020
2023-03-08,7324.759766
2023-03-09,7315.879883
2023-03-10,7220.669922
2023-03-13,7011.500000
2023-03-14,7141.569824
2023-03-15,6885.709961
2023-03-16,7025.720215
2023-03-17,6925.399902
2023-03-20,7013.140137
2023-03-21,7112.910156
2023-03-22,7131.120117
2023-03-23,7139.250000
2023-03-24,7015.100098
2023-03-27,7078.270020
2023-03-28,7088.339844
2023-03-29,7186.990234
2023-03-30,7263.370117
2023-03-31,7322.390137
2023-04-03,7345.959961
2023-04-04,7344.959961
2023-04-05,7316.299805
2023-04-06,7324.750000
2023-04-11,7390.279785
2023-04-12,7396.939941
2023-04-13,7480.830078
2023-04-14,7519.609863
2023-04-17,7498.180176
2023-04-18,7533.629883
2023-04-19,7549.439941
2023-04-20,7538.709961
2023-04-21,7577.000000
2023-04-24,7573.859863
2023-04-25,7531.609863
2023-04-26,7466.660156
2023-04-27,7483.839844
2023-04-28,7491.500000
2023-05-02,7383.200195
2023-05-03,7403.830078
2023-05-04,7340.770020
2023-05-05,7432.930176
2023-05-08,7440.910156
2023-05-09,7397.169922
2023-05-10,7361.200195
2023-05-11,7381.779785
2023-05-12,7414.850098
2023-05-15,7418.209961
2023-05-16,7406.009766
2023-05-17,7399.439941
2023-05-18,7446.890137
2023-05-19,7491.959961
2023-05-22,7478.160156
2023-05-23,7378.709961
2023-05-24,7253.459961
2023-05-25,7229.270020
2023-05-26,7319.180176
2023-05-29,7303.810059
2023-05-30,7209.750000
2023-05-31,7098.700195
2023-06-01,7137.430176
2023-06-02,7270.689941
2023-06-05,7200.910156
2023-06-06,7209.000000
2023-06-07,7202.790039
2023-06-08,7222.149902
2023-06-09,7213.140137
2023-06-12,7250.350098
2023-06-13,7290.799805
2023-06-14,7328.529785
2023-06-15,7290.910156
2023-06-16,7388.649902
2023-06-19,7314.049805
2023-06-20,7294.169922
2023-06-21,7260.970215
2023-06-22,7203.279785
2023-06-23,7163.419922
2023-06-26,7184.350098
2023-06-27,7215.580078
2023-06-28,7286.319824
2023-06-29,7312.729980
2023-06-30,7400.060059
2023-07-03,7386.700195
2023-07-04,7369.930176
2023-07-05,7310.810059
2023-07-06,7082.290039
2023-07-07,7111.879883
2023-07-10,7143.689941
2023-07-11,7220.009766
2023-07-12,7333.009766
2023-07-13,7369.799805
2023-07-14,7374.540039
2023-07-17,7291.660156
2023-07-18,7319.180176
2023-07-19,7326.939941
2023-07-20,7384.910156
2023-07-21,7432.770020
2023-07-24,7427.310059
2023-07-25,7415.450195
2023-07-26,7315.069824
2023-07-27,7465.240234
2023-07-28,7476.470215
2023-07-31,7497.779785
2023-08-01,7406.080078
2023-08-02,7312.839844
2023-08-03,7260.529785
2023-08-04,7315.069824
2023-08-07,7319.759766
2023-08-08,7269.470215
2023-08-09,7322.040039
2023-08-10,7433.620117
2023-08-11,7340.189941
2023-08-14,7348.839844
2023-08-15,7267.700195
2023-08-16,7260.250000
2023-08-17,7191.740234
2023-08-18,7164.109863
2023-08-21,7198.060059
2023-08-22,7240.879883
2023-08-23,7246.620117
2023-08-24,7214.459961
2023-08-25,7229.600098
2023-08-28,7324.709961
2023-08-29,7373.430176
2023-08-30,7364.399902
2023-08-31,7316.700195
2023-09-01,7296.770020
2023-09-04,7279.509766
2023-09-05,7254.720215
2023-09-06,7194.089844
2023-09-07,7196.100098
2023-09-08,7240.770020
2023-09-11,7278.270020
2023-09-12,7252.879883
2023-09-13,7222.569824
2023-09-14,7308.669922
2023-09-15,7378.819824
2023-09-18,7276.140137
2023-09-19,7282.120117
2023-09-20,7330.790039
2023-09-21,7213.899902
2023-09-22,7184.819824
2023-09-25,7123.879883
2023-09-26,7074.020020
2023-09-27,7071.790039
2023-09-28,7116.240234
2023-09-29,7135.060059
2023-10-02,7068.160156
2023-10-03,6997.049805
2023-10-04,6996.729980
2023-10-05,6998.250000
2023-10-06,7060.149902
2023-10-09,7021.399902
2023-10-10,7162.430176
2023-10-11,7131.209961
2023-10-12,7104.529785
2023-10-13,7003.529785
2023-10-16,7022.189941
2023-10-17,7029.700195
2023-10-18,6965.990234
2023-10-19,6921.370117
2023-10-20,6816.220215
2023-10-23,6850.470215
2023-10-24,6893.649902
2023-10-25,6915.069824
2023-10-26,6888.959961
2023-10-27,6795.379883
2023-10-30,6825.069824
2023-10-31,6885.649902
2023-11-01,6932.629883
2023-11-02,7060.689941
2023-11-03,7047.500000
2023-11-06,7013.729980
2023-11-07,6986.229980
2023-11-08,7034.160156
2023-11-09,7113.660156
2023-11-10,7045.040039
2023-11-13,7087.060059
2023-11-14,7185.680176
2023-11-15,7209.609863
2023-11-16,7168.399902
2023-11-17,7233.910156
2023-11-20,7246.930176
2023-11-21,7229.450195
2023-11-22,7260.729980
2023-11-23,7277.930176
2023-11-24,7292.799805
2023-11-27,7265.490234
2023-11-28,7250.129883
2023-11-29,7267.640137
2023-11-30,7310.770020
2023-12-01,7346.149902
2023-12-04,7332.589844
2023-12-05,7386.990234
2023-12-06,7435.990234
2023-12-07,7428.520020
2023-12-08,7526.549805
2023-12-11,7551.529785
2023-12-12,7543.549805
2023-12-13,7531.220215
2023-12-14,7575.850098
2023-12-15,7596.910156
2023-12-18,7568.859863
2023-12-19,7574.669922
2023-12-20,7583.430176
2023-12-21,7571.399902
2023-12-22,7568.819824
2023-12-27,7571.819824
2023-12-28,7535.160156
2023-12-29,7543.180176
